评论,分类
视频教学生动有趣,1
深入浅出，很好的入门课程,1
真不错哈哈哈,1
很棒，学到了很多知识。,1
能较好的整体了解谷歌广告基础情况,1
很好很好很好,1
每节课架构很清晰，且一些概念讲的很透彻，而不是晦涩难懂，对自己很有帮助,1
解释完全。,1
学到了很多有趣的东西 对网络认识更深 ,1
通过谷歌的学习，海外数字营销课程，使我对谷歌有了一个初步的认识，课程讲解的非常实用，对我以后在海外营销非常有帮助，我为海外数字营销课程点选！,1
我觉得受益匪浅,1
"线上线下教学相结合，倪补了课堂上笔记不充分的不足，线上学习可以更加深入的了解课程相关知识
",1
无基督教爆发,1
很好的课程，学到很多有用的知识,1
课程内容丰富,1
为什么我们学校老师就没有像这么手把手教，学校好就是好,1
好哈哈哈哈哈,1
老师讲课讲的很到位，与我们生活的需要息息相关。谢谢老师。,1
感觉受益匪浅,0
内容详实，易懂，老师讲得再生动些更好,1
老师讲的很好,1
感觉十分良好,1
"很棒，资源共享人类命运共同体
",1
"很好很认真、
",1
学习真好啊,1
"老师的课件逻辑性太棒了，听起来如行云流水般顺畅。各类营养学外的基础性概念也补充得非常全面充分。虽然从今天开始上课，但老师的课程质量让我产生了信心。

非常感谢张勇老师！",1
挺满意的，支持！,1
很好很好很棒很棒,1
老师的学习资料非常星系明了，讲的很体系，但是老师总是站着不动是不是太辛苦了,1
非常好 系统的学习了运动营养学,1
老师讲的很好 很容易接受,1
很不错，有收获,1
老师的讲解很清晰，重点很明确，很有收获,1
知识点很详细,1
课程非常棒、想问一下是否能申请证书,1
张勇老师讲的非常好，从营养和运动关系上更多认识，对自己帮助很大。,1
喜欢健身，学完之后，感觉很有帮助,1
可以更了解 谷歌聯播網、關鍵字下的服務,1
真的是非常棒，就是例子不够真实。,1
对谷歌广告有了一个全面的了解，以前最多只知道谷歌是用于搜索浏览器,1
"实用，例句支撑，老师讲的字正腔圆
",1
good good good ,1
很棒的课程,1
清晰明了，如果能更详细，举例和类别更多就更好,1
good！,1
很不错，很系统,1
整体课程架构清晰,1
贼好。不仅教怎么用谷歌做广告，还教怎么营销。真没想到谷歌这么专业,1
"非常好！！
",1
作为一个新手，从零开始学习。,1
"古德古德古德
",1
课程内容很适合新手，非常棒，感谢谷歌团队！,1
清楚明了，最终测试也很实用，引起很多现实的思考应用,1
尝试学习未学习过的领域，真不错,1
从这门课中学到了很多,1
课程非常不错,1
简洁明了，讲解清晰，很专业,1
学到了实实在在的东西，受益匪浅,1
老师讲的非常好，思路清晰，内容易懂而且实用，很棒的课程。,1
 知识很全面，受益匪浅，以前零丁地学习，现在有了慕课可以系统地学习一下运动营养知识，谢谢张勇老师的授课。,1
多睡觉，少打游戏，对身体好，有助于减肥,1
老师，什么时候开第二期的课程，很需要呀,1
不错学习挺有意思,1
课程内容简洁实用！,1
五星好评，非常系统，逻辑清晰,1
课程内容通俗易懂，收获新知识。,1
很棒，学到了很多,1
good.,1
课程非常好,1
可以多讲些实践的例子,1
简单易懂，外行都比较容易听懂，希望课程多开一些，再开一些进阶的课程。,1
很好的内容，实在,1
哇！超出预期了,1
哇！超出预期了,1
系统全面，可以很好的了解谷歌,1
讲解还是比较清晰容易理解,1
再细化一些就好了,1
实用，详细，专业,1
稳赚不亏 讲得很好,1
挺好的，学习中,1
非常棒的课程，期待更多,1
基础入门，确实很不错,1
很详细 很具体,1
学了很多知识,1
好像很不错,1
老杨冲冲冲,1
很好很喜欢,1
老师为什么不更新了？,1
挺好的 没有一句废话 且解释清晰有条理 超高水平,1
讲课的速度，特别是概念处有点快，跟不上。,1
很棒很nice,1
请问老师咱们这门课结课以后颁发证书吗？谢谢！,1
讲的比较透彻,1
收获很大很好,1
再接再厉，加油！,1
课程内容可以更详细一点,1
丽丽老师牛逼,1
学懂得不算太多,1
"进度不紧不慢,可以随便随便回看忘掉的知识.",1
效果非常好,1
tinghoaoo,1
"很不错，点很细
",1
老师的讲解很细致,1
老师们讲得好。,1
一些重点公式，希望还是能大致讲解由来，便于深入理解，学得更牢固，而不是浮于表面,1
很有用，不浪费时间,1
能跟上进度,1
老师讲的很nice,1
五星好评，只不过要分期给,0
"快点开学吧
",1
课程设置清晰明了，授课方式轻松幽默，考题安排组织合理,1
非常实用，谢谢,1
非常受用啊,1
谢谢老师，很好的课程,1
很好很好很好,1
这个课程算是入门级，系统和全面地介绍了google ads的基本几种广告类型。,1
整体还不错,1
课程结构清晰,1
"拓展了我的知识体系，从基础结构开始，由浅入深
",1
get a good view,1
很棒，非常感谢官方提供的系统课程，增加了知识，提供了机会。,1
内容丰富、实在、具体、实务，可以作为快速认识Google Ads的学习管道。,1
收获不少，希望可以推出更多的课程帮助更多的人！,1
继续学习，学习,1
很棒 学到了很多,1
very good,1
最惨是在国内用不了GOOGLE，烦,1
内容很直观，易理解。实用性强,1
内容没有落在实处，跟念PPT一样的念，页面切过来切过去的，几点内容看了前面不知道后面，看了后面找不到前面，例题讲解只有思维导向，连个具体的答案和过程都没有，咋写都不知道，做了也不知道对不对；给了公式，啥推导也没有，啥注意也没有，怎么用也不知道，就算套题你好歹套一下过程哇！,0
"学的很棒，赞
",1
"挺好的 学的还可以
",1
挺好的，可以多讲点例题,1
非常的优秀,1
课程 组织很好,1
讲的挺好的。,1
很好的课程,1
"讲的很详细,作业题可以很好复习课程,及时改正加强记忆",1
老师讲的很清楚，讨论的环节很棒,1
理论当先，案例善后，顶,1
很好，是正品,1
这门课程对自己思想建设帮助很大，老师们辛苦了。,0
很好很好 就是我这个理科生听不懂,1
西科大的老师讲课特别棒！,1
课程材料都很齐全，完备,1
针不戳针不戳,1
很清楚明白，还有ppt和文字解释,1
好很好非常好,1
感受很好，学到很多,1
内容清晰易懂,1
可以很精彩,1
每个老师都讲的非常棒！学到了很多！网课体验感不错,1
nice nice！！,1
课程的内容很好,1
"哇，超出了预期“！

",1
"哇，超出了预期“！

",1
好哈哈哈哈哈,1
很不错，很棒,1
干货满满，很好,1
帮助自己把以前零零散散的知识系统化了，非常好,1
挺好的  希望深入,1
很清晰 讲得很仔细,1
期待接下来的课程,1
very interesting,1
课件逻辑性很强，表达清晰，非常适合学习。,1
"我觉得课程很不错，制作很用心
",1
我自己也是互联网广告相关从业者，目前主要是在海外做affiliate的，时间不长也没接触过谷歌本身的广告产品，课程学下来倒是挺轻松的92分（其实挺想满分的但是还差一点），希望能有机会听到更进阶的课程提高自己的职业水平吧,1
哇！超出预期了,1
朴实易理解,1
非常不错啊，很系统,1
非常棒，很好用,1
很不错的课程,1
很棒的课程，感谢google中国！期待进阶课程！,1
内容丰富多彩，框架清晰，受益良多，感谢,1
开拓国际视野，初步认识了数字营销。,1
非常不错的内容,1
很好  不错的,1
老师们非常用心，学习效率很高！,1
很好 老师讲课内容丰富 对我们的复习很好,1
这个有认证证书？,1
老师讲解透彻，给予资料充足,1
非常好，非常非常好,1
很好，比较详细,1
"讲解的很好，很透彻

",1
可以没问题,1
154564,1
老师人很好,1
学的很好，学到很多东西,1
00000,1
.......,1
"感觉不错哦
",1
收获颇多，更深刻的了解了测量学,1
很好，有很多收获,1
"非常有效果
",1
无无无无无,1
。。。。。。,1
学习内容丰富，老师讲的也很多很好，一个视频竟然能有差不多20分钟，老师们很厉害,1
"6666牛牛牛牛牛

",1
课程讲的很好,1
教的太棒了,1
规矩的规嘛,1
不错的;虽说学校安排的额外网课,1
学到了许多知识,1
"我觉得很好
",1
对身边的人和事看法有更加深度的见解了,1
好好好好好好,1
"培养正确的人生观价值观世界观，很棒的课程
",1
整体感觉还不错,1
"学到了自己好多不知道的
",1
GOOD!!!,1
非常好，很好的学习,1
老师讲得很清楚，赞,1
课程很棒棒,0
好好好好好,1
收获满满发人深省,1
清晰易懂，希望得到下一阶段的学习机会,1
ppt看起看赏心悦目，语音很甜美。,1
扩展了自己的知识面,1
课程内容还是很简单，基础的入门,1
基础教学，课件做得很细致,1
还在学习中，希望可以有更多类似的课程,1
有学到东西,1
"结构框架很好，讲解简明扼要。
如果能加入一些企业沉淀的实操案例就更好了，方便培养系统化的思考过程，笔芯♥️",1
课程很棒，讲的很不错，学习到了很多大学，很不错的一门课程,1
课程很棒，讲的很不错，学习到了很多大学，很不错的一门课程,1
内容丰富，容易接受,1
学习了 1.5小时 ，了解了大致， 及格了！,1
讚讚讚讚讚讚,1
就像是谷歌的广告推广,1
很详细很好,1
不错，有干货,1
课件合理易懂，老师声音很好听。,1
课程很好，老师讲的通俗易懂,1
对于数字营销有了粗浅的认识，熟悉了谷歌广告类型的基本知识。时间花费不多，有利于今后深入学习数字和线上营销。,1
作为基础课程  非常不错  但还可以更为详细一些,1
"很不错的课程
",1
666666,1
我觉得讲得非常仔细,1
"非常棒很好
",1
很好  学到了很多知识,1
学习的视频课件都很好,1
巴适的板，爽的翻,1
非常好非常好,1
"好厉害，感觉自己生化了一样
",1
非常好，教学视频非常仔细,1
这个有证书吗,1
没有什么想说,0
"0.0
0.0",1
"很有意义哦
",1
111111,1
老师讲课详细耐心非常棒,1
zanshihaimeiyou,1
学习内容非常丰富，老师讲解很详细,1
线下结合线上学习，针对性的预习和复习课程重点，同时结合当前热点实事，拓展学生眼界！,1
感觉很好的,1
老师讲的很好，单元测验的时间设置有问题嗯，12月5日开课，可是12月28日前完成所有单元测验，应该是设置错了。请老师看一下。,1
很好的学习,1
老师讲得很好，期待再次开课！开课时间太短！,1
老师无论是线上授课还是线下授课，都非常好的喔。咨询课真的挺好玩的，助人自助,1
课程内容非常精炼,1
学到了很多，棒,1
挺不错的课程,1
非常好，老师都很不错,1
内容简洁明了，教师授课讲述清晰,1
老师讲的很全面，思路非常清晰，我受益良多。,1
非常好！特别好！,1
总体感觉很好,1
学习收获很大，受益匪浅！,1
还是可以的，想要继续在咨询路上走下去。,1
课程内容很全面，授课方式很棒,1
老师语言很精炼，信息密度也很适合，总之收获满满。,1
"挺好的学到了很多新知识
",1
内容过于表面，不深入；授课形式过于单调，乏味。,0
感觉挺好的,1
妙妙妙妙妙妙妙妙妙妙,1
妙啊妙啊妙啊妙啊,1
内容丰富精炼，对我很有帮助,1
学到了很多东西,1
非常好，非常满意,1
太完美了，爱了爱了,1
知道了应该怎么活,1
"henhaoa
",1
简直太棒了。,1
简单易懂啦,1
"不错不错不错
",1
非常棒，感觉自己的灵魂受到了升华。,1
"wojuedefeichangbang
",1
好张丁杰老师我爱你,1
很好很开心,1
但额忒的ui他,1
老师讲得十分好,1
棒棒棒棒棒,1
"还不错的哦
",1
"everything is ok
",1
"好
很好
非常好
好到极致
",1
希望能直接看到错题答案,1
挺棒的学习,1
收获很多 学到了很多 老师讲得很好,1
课件间接明了，但缺乏老师互动,1
比较多介绍谷歌广告系统吧，不过还是具有参考价值。如何精准通过合适渠道投放推广给目标受众目标产品，提高订单转化率。,1
感觉学到了很多东西，这门课很不错,1
非常好的课程，学习了很多,1
内容非常好,1
非常有料！！干货满满。,1
学习效果很好!,1
基本知识挺全的,1
内容很丰富,1
好，就是每节课时的课程的框架不明确，学的时候会有点迷糊,1
课程内容言简意赅，思路清晰明了，通俗易懂,1
内容详细专业,1
"课程超级棒，学到了很多新知识。
",1
内容精彩，讲解仔细,1
非常有帮助,1
期待老师的讲解,1
基础课程要打好基础，这是所有测绘技术的基础课程,1
课程很好，全面，更值得思考,1
不错，老师讲得很详细,1
本人没有意见,1
学习有进步,1
可以反复观看自己并不懂的地方,1
测量学很有作用，我学到了许多知识，学习过程中也很有趣,1
虽然钉钉上网课的时候（老师讲述PPT内容）时，对一些表格题目的计算过程说的很详细。但是在课后观看PPT时，由于PPT缺少相应的计算过程，导致看了PPT也没太大的帮助。,1
"还是可以的，希望越做越好。
",1
"有些讲解的很快
",1
1111111111,1
测量学带给我的快乐是所有人都想象不到的,1
好好！！！！,1
"好好好好好
",1
学习效果很棒,1
讲的还可以,1
内容充实 讲解详细 总体很好,1
可以，老师教的很好,1
内容很全，易懂，很好的课程，学到了很多知识。,1
挺好的学到了很多,1
很有实际意义,1
线上学习挺好的。,1
很不错的一款应用,1
has!..,1
很实用的技巧，受益匪浅,1
非常有帮助,1
棒棒棒棒棒,1
老师讲课的语速刚刚好 说的也很清楚 收获很多！,1
受益匪浅，加大了我对心理学兴趣,1
"老师讲解详细，非常棒
",1
很喜欢，很棒的课！,1
感觉非常好，收获了很多,1
授课内容和书本和测试的题目联系不太大，感觉测试里的内容在授课视频中并没有提到。,1
老师讲的很全面，也很详细，实用性很强。,1
很不错，内容很全面。,1
理论知识很扎实，可以在课堂中进行引用。,1
已参加，但是我的课程里面没有显示,0
好的很，我学习起来感到非常有动力。,1
非常有收获,1
haobaang,1
非常不错。,1
我觉得很可以,1
真是好极了,1
非常好！！！,1
让我更加了解人生得价值,1
还行吧，东西挺多的,1
好，非常好,1
太刺激了，太开心了!,1
教学方式能够接受，老师所讲知识能够充分吸收并且理解,1
好好好好好,1
可以做完练习就知道解析吗,1
。。。。。,1
老师讲的很生动。,1
学到了很多,1
比较详细，很不错,1
。。。。。,1
hemhao,1
老师讲得不错,1
学习的不错,1
棒  艰苦艰苦看 ,1
讲解清晰，知识量可以，配备完善,1
真是太好了,1
棒！！！！,1
蛮好的，还要继续学习,1
非常不错学习到数字营销~,1
it is nice,1
"挺好的，感觉还不错
",1
很有用，很系统的了解了谷歌广告,1
简单明了，结构清晰,1
简单明了，结构清晰,1
"感觉不错，收获很大，干货很多
",1
课程条理性非常棒,1
嗯 不错的样子，简短精练，声音好听。学到了一些东西。,1
很喜欢！！,1
"学到了很多，讲的很棒，老师声音温柔
",1
很好哦，非常棒,1
内容充实丰富，课件易懂。,1
学习内容有内涵,1
".感觉还可以
",1
老师讲解的很细致,1
不错，很稳定,1
好棒，好棒棒,1
"爽就完事了
",1
很好很好啊,1
0.0 =-=    qaq,1
好 非常好,1
学习非常方便！,1
无。。。。。。,1
讲解详细且清晰,1
还可以，讲解的挺全面的全是重点知识,1
"题目很符合巩固所学知识的要求
",1
11111,1
66666,1
很棒希望继续加油,1
11111,1
在家学习效果没有在校学习好,1
学习让我收获很多,1
挺不错的吧,1
十分清楚详细,1
老师课堂氛围不错,1
00000,1
HAO.....,1
"好
很好 非常好
",1
课程讲解清楚,1
非常好很有用,1
真不错  很好,1
"真的真的很棒棒
",1
。。。。。,1
很不错可以,1
好好好好好好好,1
非常有收获,1
"垃圾很垃圾
",0
"特别好，超级好
",1
 真的很不错,1
我觉得很好,1
切合实际，强化理论与实践相结合！,1
好非常好喜欢 ,1
我为什么就能看六学时,0
还不错，课程挺丰富的,1
基础更加扎实了,1
课程的内容从结构解析到实际案例结合讲解，可以说是讲解得很详细,1
非常非常好,1
讲的相当好,1
不错，挺好的，希望多出些类似的课程,1
good 啊,1
入门课做出精品课的感觉，还是厉害的。,1
不错不错，增加了一些知识,1
课程很实用,1
逻辑清晰，简单易懂,1
很好，非常好,1
挺好的，赞一个,1
非常实用，高端，值得推荐学习,1
很详细很棒,1
"挺好的,老师讲的很好
",1
很好有学到,1
课程纲领清晰，适合理论入门,1
"不错，挺好的饿
",1
还不错的体验,1
很系统，很好。期待学习如何开户，如何操作计划组等细节，以及针对游戏行业的教程。,1
总体感觉还是不错的,1
课程挺好的  老师讲得也比较清楚,1
视频讲解的内容很贴近学习要求，赞！,1
"讲得内容简单易懂  非常适合在家学习的氛围
",1
老师很好，讲的很仔细,1
真的很棒棒哦,1
讲解非常详细,1
要是单元测试题有解析就更好了,1
老师讲的很好，知识点融汇地很快！,1
很好的课程,1
内容丰富，讲解透彻，通俗易懂。,1
内容通熟易懂，知识点清晰，理解起来很容易,1
课程内容很充实，老师讲解很仔细,1
太棒了，学到了很多专业知识,1
老师讲的都很清楚，学懂了不少,1
老师讲的非常好！学起来简单易懂。,1
课程内容详实充分，老师们讲授清晰条理，学习细节展现清晰，帮助非常大。,1
基础性学科，带你进入测绘的领域，了解测绘基础知识，拓展知识面！,1
课程设计简洁精炼，知识点密集，课程精品,1
"内容丰富，老师讲的也很细心，平时不懂的地方可以看直播回放，也可在这里看慕课，对学习的帮助很大
",1
"非常好。。
",1
好，受益匪浅,1
"。。。。。。。。。。。。。。。。
",1
老师讲的好，辛苦了。,1
非常不错，课程精品,1
育人 启发  知法,1
很不错真的很不错,1
学到了很多与生活息息相关、有用的东西,1
"很好，老师讲的也很精细
",1
老师讲得很仔细，学到了很多,1
非常不错的呢。,1
"真不错 真不错
",1
好好好好好,1
网思修网课很好,1
收获很多，思想得到了升华,1
"非常好好好好
",1
"挺好的
大大大大",1
非常好，提高了自己的思想认识,1
好  哈哈  很好,1
哇，，牛逼·,1
拓宽饿了眼界，让我跳出原来的圈子看互联网，很有启发意义，赞。,1
"挺不错的内容
",1
"好好好好好
",1
有些東西不適用，不過總體還是不錯的， 希望可以多多出課，謝謝老師分享,1
谢谢中国有这样一个平台，帮助平凡人成长,1
受益匪浅，很棒,1
很多干货，很有用,1
干货满满满满。,1
非常好的一个入门课程！！！,1
一遍过，还行 ,1
一遍过，还行 ,1
课程非常实用，对谷歌广告有了进一步了解。,1
课程清晰易懂。只是不知道课件在哪里可以下载？延伸阅读和详细信息在哪里可以看到？,1
声音很好听,1
获取了新的知识，很受益。,1
课程安排有逻辑，讲解详细。,1
"亨受课程带来的知识
",1
真的挺好的课程入门来说非常不错,1
老师讲解的很好，这种方式也不错。,1
讲的很简洁，通俗易懂,1
很好，非常好,1
感觉很不错的,1
好，收获颇多,1
课程生动有趣 老师讲解得很好！,1
"好好好好好好
",1
高效率，高回报,1
课程全面。,1
思想启发..,1
感觉良好。,1
"很方便,获得的资源也很多",1
"非常不错挺好的
",1
不错  非常好,1
非常的nice,1
"思修课很有意义
",1
可以真的可以,1
"keyi真的可以
",1
"无
无无无
无无",1
"好我很好
好好",1
感觉很好哦,1
挺好的，除了没有在学校,1
感觉都是干货，简单易懂。很多在网上都想找不到。,1
知识点很丰富，老师讲解生动有趣，通俗易懂，好评,1
我感觉非常好，老师们讲得很全面，老师们辛苦了,1
很好的一门课程，讲的很细致，很有实用性。,1
讲解很细致，浅显易懂。软件讲解使学生很容易上手。,1
不错不错，学习了有收获,1
太棒了呀！,1
课程讲解很清晰，自己也学到了很多,1
特别棒 非常好,1
课程非常不错,1
课程资源很棒,1
超出预期，棒！,1
"好，超级棒，有所提升
",1
太棒了我的天,1
课程内容很好，分的很细节，对于没有基础的同学很适合,1
感觉很好，学习到有用的知识,1
"我觉得讲的很细致，很好！
",1
这个课程简直太棒了，对做电子课程设计有非常好的帮助。,1
课程通俗易懂,1
"我只想对打低分的人说：
白piao Google官方的教学还指手画脚，你们有一定的搜索资源能力又如何？
赶紧别看了，也别参加后续的活动了吧，不差你们这些恶心的人",1
很适合小白,1
资源齐全内容丰富,1
特别的有启发性,1
非常好，棒极了！,1
很好的课程，学习和交流，增长和创造,1
需要进阶学习,1
很好的课程,1
学到了有用知识,1
非常有收获,1
虽然认为自己做了很久的谷歌推广能拿满分，但是有些题目确实还是不理解问题，看来是好久没考试了，哈哈,1
深入浅出内容翔实，是入门学习的好帮手,1
很好的课程，系统的结构，清晰的知识点，对谷歌更加的了解了！谢谢所有工作人员的付出！,1
总体不错！如果内容再深入一点就更好了～希望可以更细化,1
挺好的，课程框架清晰，讲解明了。,1
课程讲的很详细，受益匪浅。,1
很受启发，对于数字营销有了从零到一的认识,1
非常好的课程，结构框架层层递进，思路清晰。,1
很棒！期待接下来 更精彩的教学！希望有更多的实操案例！,1
很有收获，老师讲的很好,1
"0.0
共后果imghoihi哦hi ",1
"好就是多，多就是好
",1
老师讲的非常好，受益匪浅！！！,0
学习到了许多,1
学会了很多东西,1
"感觉非常好
",1
老师厉害同学可爱,1
非常的好 令我印象深刻给了我深刻的教育 使我变得更加的优秀 我会好好的发扬这种精神,1
太有意思了,1
内容充实，课程多样,1
"我觉得非常好
",1
真的非常好呢 强烈推荐呢,1
"很好很棒,学到了很多",1
"非常好哦哦哦
",1
真的是超级棒,1
很好，在这里学到了许多,1
真不错啊，课程丰富，完全满足学生要求。,1
感受到了大学生该有的责任感与使命感，让我受益匪浅！,1
老师讲授得很清晰,1
为西南科大打call call,1
好好好好好,1
"真的很不错呢
",1
mooc好,1
很好的很好的很好的,1
好好啊哈好好,1
很好，感觉学到了很多知识,1
很好很好很好,1
教授的很好,1
真的很有收获,1
学到了很多,1
挺棒的，课程很有用,1
课程比较满意 ,1
特别特别的好,1
学习的很好,1
非常的不错,1
老师的讲解非常好,1
非常完美哦,1
妙哉。。。。。。,1
非常好，学到了很多前沿的知识，同时更加清楚地了解了谷歌广告体系。,1
很不错的体验，学习动力满满,1
学到了很多数字营销知识点,1
非常的棒！,1
思路非常顺，,1
很好，干货多,1
学到了很多东西，很有用,1
很专业，内容也很足,1
准备边学边操作,1
课程非常的好,1
很棒！很棒！很棒！很棒！,1
很好，学习了,1
great!,1
干活满满。继续学习。,1
内容完整，讲解清晰，不过大部分讲解搜索平台的数字化解决方案，数字化营销是相对较大的概念，涉及不仅仅私域流量，媒体平台，还有企业级saas服务平台等,1
对SEM帮助非常大,1
很专业的讲解,1
nice！,1
课程质量很好，希望可以出更多课程，感恩,1
感觉都差不多。。。,1
"学到很多知识，受益匪浅。
",1
好真好实在是太好了,1
启发性很大,1
互动可以优化,1
无学习感受,1
棒呆了，学习后很有感悟,1
很好，解答清楚明白,1
好好好好好好,1
课程充实，很有收获。,1
课程真的很好呢,1
内容很好，讲解清晰,1
好牛，我好喜欢,1
zhenhao1,1
好好好好好哈,1
真的不错啊,1
非常好 老师讲的特别棒,1
老师授课方式多样化，有ppt演示，也有视频资源插入，内容详细明了，好评！,1
反反复复反反复复,1
内容太多了吧,0
"很好很不错呀
",1
"很棒的感受，很有用
",1
哇！超出我的预期了！,1
hhhhh,1
我觉得很棒,1
"很棒
学到了很多
",1
good！,1
"内容特别棒
",1
通过课程的相关学习，让我受益不少,1
。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。,1
"不错，学有所成
、
",1
带给我学习了很多,1
很不错的。,1
很好，我学到了很多知识,1
"就很nice
",1
niu bihuail,1
MIEYOUSSHENM ,1
塔克啊看到速回,1
。。。。。。,1
体验非常好,1
老师讲的非常好,1
讲的很棒，学习了不少新东西,1
非常系统的数字营销教学课程,1
内容丰富全面，简单入门，条理清晰,1
内容还好 就是挺宽泛的,1
还可以啊，小白也可以听懂,1
课件质量，解说语音的质量都非常高，无可挑剔，唯一稍有不足是清晰度，如果提供1080P的选项就最好了。,1
挺好的有收获,1
比我预想中的要好太多了，之前在油管上看了也是官方出品，感觉这完全是两个层次。,1
"大公司的格局和氛围确实给我带来了很深很直观的感受，希望能继续在谷歌学到新东西
",1
满满的干货。,1
挺好的，期待后面的进阶课程,1
课程设计清晰，讲解深入独到，对小白学员有较强的普及意义。,1
undefined,1
感谢谷歌！,1
真的超级棒，谷歌团队超级用心，课程结构设计合理，内容实用，太感谢了,1
不错不错的,1
课程内容专业独到，让我受益匪浅，谢谢！,1
课程安排合理，学习知识很有趣,1
"很棒的GOOGLE课程,不用翻墙就可以学习了!",1
希望化学不挂科，加油，奥利给！,1
加油，化学不挂科,1
这个软件可以啊,1
化学不挂科,1
非常非常棒,1
化学冲鸭！！！奥利给！！！！！,1
不挂科就行,1
"具有广阔的知识，有很好教学资源，希望可以多提升自己。
",1
我也不要挂科。奥利给,1
化学老师特好，让我对化学学习充满希望！,1
化学，有手就行,1
"好
好好好好",1
特别有帮助，希望更新的快一点,1
我们学生还有很多没有进行实名制注册，昵称可以改为我们学生的名字,1
课程很好，老师知识渊博有耐心，非常棒。,1
化学不挂科 奥利给,1
好有重点有规划,1
非常不错，很喜欢,1
很好的软件,1
对于刚接触化学的我来说受益匪浅,1
真的受益良多,1
无撒大大aw‘,1
很全面补充了自己的知识盲区，很适合复习,1
老师讲的很仔细,1
"哈哈哈学到了很多谢谢呀
",1
陈建华老师讲的太棒了，可惜老师要退休了，我还想接受老师知识的熏陶。,1
棒棒棒棒棒,1
good，nice,1
此物只应天上有,1
very good,1
课程非常棒,1
比较全面，好,1
用起来挺方便的,1
"得到了许多有用的知识
",1
ganjuehenhao,1
good，好好好好,1
"挺好的 挺好的
",1
"哈哈哈哈哈好
",1
非常好，学到了很多东西,1
"还行
还可以",1
已经大致掌握,1
非常好，赞赞赞,1
学到了很多,1
收获还是比较多的，对学习很有帮助。,1
"很好，学到很多

",1
棒棒棒棒棒棒,1
大有收获，加油加油。,1
好，什么都好,1
。。。。。。。,1
。。。。。,1
好，超级棒，有所提升,1
"学习了，务实基础。不错
",1
fwefwwg,1
"老师很棒。厉害
",1
好，课程特别好,1
视频内容很基础，讲解的也很细致，基础知识巩固了不少，收获颇多,1
在本次课程中，弄懂了课程设计的基本步骤以及软件的相关使用，老师们讲的课也很清晰明了，整体都很不错。,1
在家也可以学到相关的知识，挺方便的，而且老师讲的也非常的通俗易懂。本课程循序渐进，由简单到复杂，我在这门课上学到了很多东西,1
非常好的入门科普课。,1
简单明了，通俗易懂,1
之前学习过grow with google的原版，还是挺新鲜的,1
"受益良多，很棒
",1
有所受益，很棒的课程。,1
还可以不错,1
听帮他得分,1
很棒。提高了不少。感谢谷歌。,1
"这个课程还是非常的棒的,出现的也很是时候,很适合当前学习.感谢google一直以来的贡献.",1
提升了很多,1
非常专业而且简练。在google生态下的实用性很强,1
思维明确，逻辑清晰，简明扼要地介绍了产品信息，但是希望能有更多的练习机会,1
课程非常好,1
获得证书后修改的邮箱不会有什么影响吧？,1
视频制作时长很合理，喜欢！,1
方式很好 未来的教育方向,1
非常好的课程。这是第一次觉得线上的课程也有这么优质的，特别棒。,1
不错好好好不错好好好不错好好好不错好好好不错好好好不错好好好不错好好好不错好好好不错好好好不错好好好不错好好好,1
很惊喜，数字营销竟然这么有趣,1
"非常好。期待下次开课
",1
学到了很多，很不错,1
很好很好很好,1
学到了不少知识，开拓了视野,1
"挺好AODE
",1
很有帮助！,1
这个课程很棒哦,1
很多很多人,1
很丰富的收获,1
非常得有利于学习,1
1111饿e,1
。。。。。。,1
看起来还可以,1
非常好，感觉很有意思,1
无无无无无2,1
很好，有很多收获,1
老师们很好，很负责,1
/；/。。。,1
很好用爱你哟,1
特别好 ，学到很多,1
"在上课时间很快乐

",1
非常非常好,1
不错不错不错,1
可以还不错,1
好好好好好,1
更加了解了书上的内容，老师讲的也挺清楚的,1
感觉还不错。,1
非常有效果,1
好真好好好,1
"彩彩彩彩彩彩
",1
。。。。。,1
"ok
well
",1
很全面，学习起来很方便,1
老师很认真负责,1
哇哦哇哦哇哦哇哦哇哦哇哦玩嗷呜,1
非常非常好,1
这学期的思想道德修养与法律基础课程让我收获很大，不仅让我学习了更多的知识，更重要的是，给了我心理上很大的帮助。我觉得这门课程对我们大学生很有针对性，对于大学生的基本素质、价值理念、奋斗目标等都提出了正确的导向。,1
真是太好了，真棒啊,1
非常地实用,1
很好，很有用，每个老师都讲得很透彻和富有乐趣,1
本次课程能从中学到很多关于电子课程技术的知识，课程也很简单易懂，容易理解。,1
感觉挺好的,1
老师讲解的很到位，语速可以,1
课程详细，能学到很多知识,1
内容很丰富,1
学到了很多数模电知识,1
12345,1
"非常nice
",1
"非常nice
",1
"从中学到了好多知识。
",1
非常好的一门课,1
课程教授清晰，有很多收获,1
好好好嗷嗷嗷,1
了解一些基本实验,1
我受益颇多,1
"老师讲解的很好
",1
太好了，我很喜欢,1
。。。。。。,1
"很好很不错
",1
老师讲的很好，生动有趣,1
整挺好非常棒,1
455656,1
很好很好很好,1
挺棒的aap,1
"好
很不错很好",1
"好
很不错很好",1
对我具有很大的帮助,1
非常非常好,1
好好好好好好好好,1
好好好好好好好好好,1
收货很多非常感谢这个平台！！！,1
OK     ,1
很好，不错,1
受益很大，老师很棒。,1
感觉还不错嘞,1
"有了极大的提升
、",1
666666,1
